wynik;uwaga;nasz slug;nasza nazwa;ich nazwa;ich cena (zl);ich slug
0.50;podobny wariant obok;minibarek-przykrecany-srebrny-z-logo;Minibarek przykręcany srebrny z logo;Minibarek stalowy przykręcany;180,00;minibarek-stalowy-przykrecany
0.50;;hydromasaz-na-8-dysz;Hydromasaż na 8 dysz;Zestaw hydromasażu na 8 dysz 1100W;1190,00;zestaw-hydromasazu-na-8-dysz-1100w
0.49;;zawor-spustowy-polautomatyczny;Zawór spustowy półautomatyczny;Zawór spustowy z odpływem do wanny;119,99;zawor-spustowy-z-odplywem-do-wanny
0.49;podobny wariant obok;wklad-akrylowy-z-wytloczeniami-kwadrat-z-miejscem-lezacym-220-cm-x-220-cm;Wkład akrylowy z wytłoczeniami — Kwadrat z miejscem leżącym 220 cm x 220 cm;Wkład akrylowy z miejscem leżącym czarny marmur;7199,00;wklad-akrylowy-z-miejscem-lezacym-czarny-marmur
0.48;podobny wariant obok;minibarek-podswietlany-plywajacy;Minibarek podświetlany pływający;Minibarek pływający z podświetleniem led;260,00;minibarek-plywajacy-z-podswietleniem-led
0.48;podobny wariant obok;stolik-zawieszany;Stolik zawieszany;Minibarek zawieszany;150,00;minibarek-zawieszany
0.47;;zawor-kulowy-pvc;Zawór kulowy PVC;Zawór 32mm do klejenia PVC;19,99;zawor-32mm-do-klejenia-pvc
0.46;podobny wariant obok;przejscia-filtracyjne-filtr-zawory-kulki;Przejścia filtracyjne + filtr + zawory + kulki;Przejścia filtracyjne z zaworami do filtracji;219,99;przejscia-filtracyjne-z-zaworami-do-filtracji
0.46;podobny wariant obok;mufa-50-mm;Mufa 50 mm;Mufa PVC 50mm;11,99;mufa-pvc-50mm
0.46;podobny wariant obok;mufa-32-mm;Mufa 32 mm;Mufa PVC 32mm;9,99;mufa-pvc-32mm
0.46;;schody-drewniane-termodrewno;Schody drewniane TERMODREWNO;Schody termodrewno do balii ogrodowej;450,00;schody-termodrewno-do-balii-ogrodowej
0.46;podobny wariant obok;pompa-hydromasazu-lp300-2200w;Pompa hydromasażu LP300 2200W;Pompa do hydromasażu DXD 315E – 1100W;499,00;pompa-do-hydromasazu-dxd-315e-1100w
0.45;;deska-swierkowa-cena-za-1-m2;Deska Świerkowa — cena za 1 m²;Deska świerkowa do obicia balii;636,00;deska-swierkowa-do-obicia-balii
0.44;podobny wariant obok;trojnik-32x32mm;Trójnik 32x32mm;Trójnik PVC 32/32/32 mm;5,99;trojnik-pvc-32-32-32-mm
0.44;podobny wariant obok;kolanka-do-pieca-solo;Kolanka do pieca solo;Kolanko do pieca 90°;71,99;kolanko-do-pieca-90
0.43;podobny wariant obok;wklad-akrylowy-z-wytloczeniami-okragly-standard-metalik-200-cm-zewnetrzny;Wkład akrylowy z wytłoczeniami — Okrągły standard metalik 200 cm zewnętrzny;Wkład akrylowy okrągły z wytłoczeniami pod dysze szara perła;3899,00;wklad-akrylowy-okragly-z-wytloczeniami-pod-dysze-szara-perla
0.43;podobny wariant obok;wklad-akrylowy-kwadratowy-200-cm-x200-cm-zewnetrzny-wewnetrzny;Wkład akrylowy — Kwadratowy 200 cm x200 cm zewnętrzny / wewnętrzny;Wkład akrylowy kwadratowy szara perła;5699,00;wklad-akrylowy-kwadratowy-szara-perla
0.43;;zawor-kulowy-1;"Zawór kulowy 1""";"Zawór kulowy 1"" do pieca na drewno w balii ogrodowej";39,99;zawor-kulowy-1-do-pieca-na-drewno-w-balii-ogrodowej
0.43;;filtr-intex;Filtr INTEX;Filtr do balii ogrodowej Intex 26642;579,00;filtr-do-balii-ogrodowej-intex-26642
0.42;;klej-weld-on;Klej WELD ON;Klej do rur PVC Weld-On 748 ECO Pool;39,99;klej-do-rur-pvc-weld-on-748-eco-pool
0.41;;opaski-do-weza-cisnieniowego-cena-za-1-szt;Opaski do węża ciśnieniowego — cena za 1 szt.;Opaska zaciskowa na węża ciśnieniowego;15,00;opaska-zaciskowa-na-weza-cisnieniowego
0.41;podobny wariant obok;blachy-naroznikowe;Blachy narożnikowe;Blachy narożnikowe do wkładów akrylowych czarny mat;500,00;blachy-naroznikowe-do-wkladow-akrylowych-czarny-mat
0.41;podobny wariant obok;blachy-naroznikowe-2;Blachy narożnikowe;Blachy narożnikowe do wkładów akrylowych czarny mat;500,00;blachy-naroznikowe-do-wkladow-akrylowych-czarny-mat
0.41;;rozdzielacz-3-8-8-wyjsc;Rozdzielacz 3/8 - 8 wyjść;Rozdzielacz powietrza do aeromasażu na węża 3/8 cala;39,99;rozdzielacz-powietrza-do-aeromasazu-na-weza-3-8-cala
0.40;podobny wariant obok;trojnik-50x32mm;Trójnik 50x32mm;Trójnik PVC 32/32/32 mm;5,99;trojnik-pvc-32-32-32-mm
0.40;;piana-pur-raptor-cena-za-1-szt;Piana PUR Raptor — cena za 1 szt.;Termoizolacyjna piana natryskowa PUR Raptor;39,99;termoizolacyjna-piana-natryskowa-pur-raptor
0.39;podobny wariant obok;grzalka-pahlen-12kw;Grzałka Pahlen 12kW;Grzałka do basenu Pahlen Aqua Compact 12.0 kW;1299,99;grzalka-do-basenu-pahlen-aqua-compact-12-0-kw
0.38;;zaglowek;Zagłówek;Zagłówek do balii ogrodowej;45,99;zaglowek-do-balii-ogrodowej
0.38;podobny wariant obok;przejscie-filtracyjne;Przejście filtracyjne;Przejścia filtracyjne do balii ogrodowej;129,99;przejscia-filtracyjne-do-balii-ogrodowej
0.38;podobny wariant obok;grzalka-pahlen-3kw;Grzałka Pahlen 3kW;Grzałka do basenu Pahlen Aqua Compact 3.0 kW;1099,99;grzalka-do-basenu-pahlen-aqua-compact-3-0-kw
0.38;podobny wariant obok;grzalka-pahlen-6kw;Grzałka Pahlen 6kW;Grzałka do basenu Pahlen Aqua Compact 6.0 kW;1119,99;grzalka-do-basenu-pahlen-aqua-compact-6-0-kw
0.38;podobny wariant obok;grzalka-pahlen-9kw;Grzałka Pahlen 9kW;Grzałka do basenu Pahlen Aqua Compact 9.0 kW;1149,99;grzalka-do-basenu-pahlen-aqua-compact-9-0-kw
0.36;;oslona-komina-przeciw-oparzeniowa-do-balii-ogrodowej-kompatybilna-z-piecami-zewnetrznymi-wewnetrznymi-cena-za-1-szt;Osłona komina przeciw oparzeniowa do balii ogrodowej kompatybilna z piecami zewnętrznymi/wewnętrznymi — cena za 1 szt.;Osłona komina przeciw oparzeniowa;248,99;oslona-komina-przeciw-oparzeniowa
0.36;podobny wariant obok;grzalka-pahlen-3kw-komplet;Grzałka Pahlen 3kW Komplet;Grzałka do basenu Pahlen Aqua Compact 3.0 kW;1099,99;grzalka-do-basenu-pahlen-aqua-compact-3-0-kw
0.36;podobny wariant obok;grzalka-pahlen-6kw-komplet;Grzałka Pahlen 6kW Komplet;Grzałka do basenu Pahlen Aqua Compact 3.0 kW;1099,99;grzalka-do-basenu-pahlen-aqua-compact-3-0-kw
0.36;podobny wariant obok;grzalka-pahlen-9kw-komplet;Grzałka Pahlen 9kW Komplet;Grzałka do basenu Pahlen Aqua Compact 3.0 kW;1099,99;grzalka-do-basenu-pahlen-aqua-compact-3-0-kw
0.36;podobny wariant obok;kolano-plastikowe-50-mm;Kolano plastikowe 50 mm;Kolano PVC 90° d50 mm;11,99;kolano-pvc-90-d50-mm
0.36;podobny wariant obok;kolano-plastikowe-32-mm;Kolano plastikowe 32 mm;Kolano PVC 90° d32 mm;5,99;kolano-pvc-90-d32-mm
0.36;podobny wariant obok;kolano-plastikowe-20-mm;Kolano plastikowe 20 mm;Kolano PVC 90° d20 mm;4,99;kolano-pvc-90-d20-mm
0.36;podobny wariant obok;kulki-filtracyjne-500-g;Kulki filtracyjne 500 g;Kulki filtracyjne do filtra piaskowego 500g INTEX 29045;28,99;kulki-filtracyjne-do-filtra-piaskowego-500g-intex-29045
0.35;;deska-komzpozytowa-cena-za-1-m2;Deska Komzpozytowa — cena za 1 m²;Deska kompozytowa do obicia balii;1260,00;deska-kompozytowa-do-obicia-balii
0.35;podobny wariant obok;schody-kompozyt;Schody KOMPOZYT;Schody kompozytowe do balii ogrodowej;499,00;schody-kompozytowe-do-balii-ogrodowej
0.35;;waz-3-8-cena-za-1-mb;"Wąż 3/8"" — cena za 1 mb";"Wąż PVC 3/8"" do aeromasażu w balii ogrodowej";6,99;waz-pvc-3-8-do-aeromasazu-w-balii-ogrodowej
0.33;podobny wariant obok;zestaw-kolanek-do-pieca-2x-kolanko-60cm-weza-cisnieniowego-4x-opaska-zaciskowa-cena-za-2-szt;Zestaw Kolanek do pieca (2x kolanko, 60cm węża ciśnieniowego, 4x opaska zaciskowa) — cena za 2 szt.;Opaska zaciskowa na węża ciśnieniowego;15,00;opaska-zaciskowa-na-weza-cisnieniowego
0.33;podobny wariant obok;wklad-do-beczki-schladzajacej-wlokno-szklane-perla-okregi-z-laminatu;Wkład do beczki schładzającej — Włókno szklane perła + okręgi z laminatu;Wkład z włókna szklanego biała perła kwadrat leżanka;3475,00;wklad-z-wlokna-szklanego-biala-perla-kwadrat-lezanka
0.32;;oswietlenie-10-punktowe-miniled-komplet;Oświetlenie 10-punktowe miniled Komplet;Zestaw lampek podwodnych 10-punktowe miniledy RGB 7 kolorów;388,99;zestaw-lampek-podwodnych-10-punktowe-miniledy-rgb-7-kolorow
0.31;podobny wariant obok;deska-termodrewno-cena-za-1-m2;Deska Termodrewno — cena za 1 m²;Termodrewno do obicia balii;960,00;termodrewno-do-obicia-balii
0.31;podobny wariant obok;schody-drewniane-swierk;Schody drewniane ŚWIERK;Wiosło drewniane do mieszania wody;70,00;wioslo-drewniane-do-mieszania-wody
0.31;podobny wariant obok;wklad-do-beczki-schladzajacej-wlokno-szklane-standard-okregi-z-laminatu;Wkład do beczki schładzającej — Włókno szklane standard + okręgi z laminatu;Zestaw do samodzielnego montażu. Wkład włókno szklane – okrągły;6999,00;zestaw-do-samodzielnego-montazu-wklad-wlokno-szklane-okragly
