kategoria;nasz slug;nasza nazwa;nasza cena (zl);kandydat u Balii;cena kandydata (zl);wynik;uwaga;cena detaliczna (WPISZ)
Akcesoria;piana-pur-raptor-cena-za-1-szt;Piana PUR Raptor — cena za 1 szt.;33,83;;;0,40;;
Akcesoria;termometr-basenowy-zawieszany-z-linka-c-f;Termometr basenowy zawieszany z linką °C °F;8,79;Termometr basenowy zawieszany z linką °C °F;8,99;1,00;podobny wariant obok;
Akcesoria;termometr-basenowy-zawieszany-z-linka-c-f-2;Termometr basenowy zawieszany z linką °C °F;7,70;Termometr basenowy zawieszany z linką °C °F;8,99;1,00;podobny wariant obok;
Akcesoria;zaglowek;Zagłówek;39,24;;;0,38;;
Elementy drewniane;blachy-naroznikowe;Blachy narożnikowe;438,37;;;0,41;podobny wariant obok;
Elementy drewniane;blachy-naroznikowe-2;Blachy narożnikowe;438,37;;;0,41;podobny wariant obok;
Elementy drewniane;deska-komzpozytowa-cena-za-1-m2;Deska Komzpozytowa — cena za 1 m²;173,18;;;0,35;;
Elementy drewniane;deska-termodrewno-cena-za-1-m2;Deska Termodrewno — cena za 1 m²;133,95;;;0,31;podobny wariant obok;
Elementy drewniane;deska-swierkowa-cena-za-1-m2;Deska Świerkowa — cena za 1 m²;86,59;;;0,45;;
Elementy drewniane;schody-kompozyt;Schody KOMPOZYT;438,37;;;0,35;podobny wariant obok;
Elementy drewniane;schody-drewniane-termodrewno;Schody drewniane TERMODREWNO;438,37;;;0,46;;
Elementy drewniane;schody-drewniane-swierk;Schody drewniane ŚWIERK;351,78;;;0,31;podobny wariant obok;
Elementy drewniane;stelaz-do-beczki;Stelaż do beczki;231,36;;;0,31;podobny wariant obok;
Filtracja;filtr-intex;Filtr INTEX;592,61;;;0,43;;
Filtracja;kulki-filtracyjne-500-g;Kulki filtracyjne 500 g;32,47;;;0,36;podobny wariant obok;
Filtracja;przejscia-filtracyjne-filtr-zawory-kulki;Przejścia filtracyjne + filtr + zawory + kulki;821,27;;;0,46;podobny wariant obok;
