wynik;uwaga;nasz slug;nasza nazwa;ich nazwa;ich cena (zl);ich slug
1.00;;kubek-miarowy-do-chemii-basenowej;Kubek miarowy do chemii basenowej;Kubek miarowy do chemii basenowej;14,30;kubek-miarowy-do-chemii-basenowej
1.00;;termometr-bojka-dozownik-na-chemie;Termometr bojka + dozownik na chemie;Termometr bojka + dozownik na chemie;13,31;termometr-bojka-dozownik-na-chemie
1.00;;magiczna-gabka-melaminowa-do-basenu-5-szt;Magiczna gąbka melaminowa do basenu 5 szt.;Magiczna gąbka melaminowa do basenu 5 szt.;8,89;magiczna-gabka-melaminowa-do-basenu-5-szt
1.00;;rekawica-z-wbudowana-gabka-do-czyszczenia-basenu;Rękawica z wbudowaną gąbką do czyszczenia basenu;Rękawica z wbudowaną gąbką do czyszczenia basenu;17,98;rekawica-z-wbudowana-gabka-do-czyszczenia-basenu
1.00;;gabka-z-uchwytem-do-czyszczenia-basenu;Gąbka z uchwytem do czyszczenia basenu;Gąbka z uchwytem do czyszczenia basenu;10,61;gabka-z-uchwytem-do-czyszczenia-basenu
1.00;;wklad-akrylowy-dwuosobowy-ofuro;Wkład akrylowy — Dwuosobowy Ofuro;Wkład akrylowy dwuosobowy Ofuro;3750,00;wklad-akrylowy-dwuosobowy-ofuro
1.00;;dodatkowy-metr-komina-do-pieca-na-drewno-do-balii-ogrodowej;Dodatkowy metr komina do pieca na drewno do balii ogrodowej;Dodatkowy metr komina do pieca na drewno do balii ogrodowej;149,00;dodatkowy-metr-komina-do-pieca-na-drewno-do-balii-ogrodowej
1.00;;rurka-przedluzajaca-podpiecie-pieca-na-drewno-na-weza-48-mm;Rurka przedłużająca podpięcie pieca na drewno na węża 48 mm;Rurka przedłużająca podpięcie pieca na drewno na węża 48 mm;89,99;rurka-przedluzajaca-podpiecie-pieca-na-drewno-na-weza-48-mm
1.00;;dysza-wodna-do-hydromasazu;Dysza wodna do hydromasażu;Dysza wodna do hydromasażu;49,99;dysza-wodna-do-hydromasazu
1.00;;dysza-powietrzna-do-aeromasazu-na-weza-3-8-cala;Dysza powietrzna do aeromasażu na węża 3/8 cala;Dysza powietrzna do aeromasażu na węża 3/8 cala;19,99;dysza-powietrzna-do-aeromasazu-na-weza-3-8-cala
1.00;;dysza-powietrzna-do-aeromasazu-zintegrowana-z-oswietleniem-led;Dysza powietrzna do aeromasażu zintegrowana z oświetleniem LED;Dysza powietrzna do aeromasażu zintegrowana z oświetleniem LED;67,99;dysza-powietrzna-do-aeromasazu-zintegrowana-z-oswietleniem-led
1.00;;minibarek-zawieszany;Minibarek zawieszany;Minibarek zawieszany;150,00;minibarek-zawieszany
1.00;;glosniki-bluetooth;Głośniki Bluetooth;Głośniki bluetooth;399,00;glosniki-bluetooth
1.00;;termometr-elektryczny-z-przetwornikiem;Termometr elektryczny z przetwornikiem;Termometr elektryczny z przetwornikiem;188,99;termometr-elektryczny-z-przetwornikiem
1.00;;zawory-do-filtracji;Zawory do filtracji;Zawory do filtracji;89,99;zawory-do-filtracji
1.00;;zestaw-przylaczeniowy-filtracji-na-deske-obiciowa;Zestaw przyłączeniowy filtracji na deskę obiciową;Zestaw przyłączeniowy filtracji na deskę obiciową;319,99;zestaw-przylaczeniowy-filtracji-na-deske-obiciowa
1.00;;korek-spustowy-klik-klak;Korek spustowy klik-klak;Korek spustowy klik-klak;39,99;korek-spustowy-klik-klak
1.00;;sterownik-do-jacuzzi-i-balii-ogrodowych-w-04-nowoczesny-panel-sterowania;Sterownik do Jacuzzi i Balii ogrodowych W-04 – Nowoczesny Panel Sterowania;Sterownik do Jacuzzi i Balii ogrodowych W-04 – Nowoczesny Panel Sterowania;399,99;sterownik-do-jacuzzi-i-balii-ogrodowych-w-04-nowoczesny-panel-sterowania
1.00;;sterownik-wi-fi-do-bali-ogrodowej-z-czujnikiem-temperatury-i-przejsciowka;Sterownik Wi-Fi do Bali Ogrodowej z Czujnikiem Temperatury i Przejściówką;Sterownik Wi-Fi do Bali Ogrodowej z Czujnikiem Temperatury i Przejściówką;299,00;sterownik-wi-fi-do-bali-ogrodowej-z-czujnikiem-temperatury-i-przejsciowka
1.00;;zabezpieczenie-roznicowo-pradowe-rozdzielnica-do-balii-ogrodowej-1f-230v-3-6-kw;Zabezpieczenie różnicowo-prądowe rozdzielnica do balii ogrodowej 1F 230V 3,6 kW;Zabezpieczenie różnicowo-prądowe rozdzielnica do balii ogrodowej 1F 230V 3,6 kW;399,00;zabezpieczenie-roznicowo-pradowe-rozdzielnica-do-balii-ogrodowej-1f-230v-3-6-kw
1.00;;ph-minus-granulat;Ph minus Granulat;pH Minus Granulat;18,99;ph-minus-granulat
1.00;;ph-plus-granulat;Ph plus Granulat;pH Plus Granulat;19,99;ph-plus-granulat
0.97;;glon-fighter;Glon Fighter;Glon Fighter I;16,99;glon-fighter-i
0.87;;wklad-akrylowy-okragly-200cm-bezowa-perla;Wkład akrylowy okrągły 200cm beżowa perła;Wkład akrylowy okrągły beżowa perła;3899,00;wklad-akrylowy-okragly-bezowa-perla
