wynik;uwaga;nasz slug;nasza nazwa;ich nazwa;ich cena (zl);ich slug
1.00;podobny wariant obok;termometr-basenowy-zawieszany-z-linka-c-f;Termometr basenowy zawieszany z linką °C °F;Termometr basenowy zawieszany z linką °C °F;8,99;termometr-basenowy-zawieszany-z-linka-c-f
1.00;podobny wariant obok;termometr-basenowy-zawieszany-z-linka-c-f-2;Termometr basenowy zawieszany z linką °C °F;Termometr basenowy zawieszany z linką °C °F;8,99;termometr-basenowy-zawieszany-z-linka-c-f
0.87;podobny wariant obok;minibarek-przykrecany-drewniany;Minibarek przykręcany drewniany;Minibarek drewniany przykręcany;200,00;minibarek-drewniany-przykrecany
0.87;podobny wariant obok;wklad-akrylowy-okragly-200cm-szara-perla;Wkład akrylowy okrągły 200cm szara perła;Wkład akrylowy okrągły szara perła;4660,00;wklad-akrylowy-okragly-szara-perla
0.85;;gabki-absorbujace-tluszcz-do-basenu-2-szt;Gąbki absorbujące tłuszcz do basenu 2 szt.;Gąbki absorbujące tłuszcz do basenu;35,99;gabki-absorbujace-tluszcz-do-basenu
0.83;;pompa-hydromasazu-dxd-1100w;Pompa hydromasażu DXD 1100W;Pompa do hydromasażu DXD 315E – 1100W;499,00;pompa-do-hydromasazu-dxd-315e-1100w
0.82;;korek-spustowy-klik-klak-komplet;Korek spustowy klik-klak komplet;Korek spustowy klik-klak;39,99;korek-spustowy-klik-klak
0.80;;piec-zewnetrzny-z-szybka-30kw-aisi-304;Piec zewnętrzny z szybką 30kW AISI 304;Piec 30kW z szybką AISI 304;2999,00;piec-30kw-z-szybka-aisi-304
0.80;;piec-zewnetrzny-z-szybka-30kw-aisi-316;Piec zewnętrzny z szybką 30kW AISI 316;Piec 30kW z szybką AISI 316;3499,00;piec-30kw-z-szybka-aisi-316
0.80;;piec-zewnetrzny-z-szybka-35kw-aisi-304;Piec zewnętrzny z szybką 35kW AISI 304;Piec 35kW z szybką AISI 304;4499,00;piec-35kw-z-szybka-aisi-304
0.79;;pokrywa-termiczna-200-cm-okragla;Pokrywa termiczna 200 cm okrągła;Pokrywa termiczna 200 cm;1090,00;pokrywa-termiczna-200-cm
0.79;;pokrywa-termiczna-225-cm-okragla;Pokrywa termiczna 225 cm okrągła;Pokrywa termiczna 225 cm;1339,99;pokrywa-termiczna-225-cm
0.79;;pokrywa-termiczna-200-cm-x-200-cm;Pokrywa termiczna 200 cm x 200 cm;Pokrywa termiczna 200 cm;1090,00;pokrywa-termiczna-200-cm
0.77;;zawor-zabezpieczajacy-32-mm;Zawór zabezpieczający 32 mm;Zawór zabezpieczający 32 mm do aeromasażu;39,99;zawor-zabezpieczajacy-32-mm-do-aeromasazu
0.76;;wklad-akrylowy-okragly-200cm-z-wytloczeniemi-na-dysze-szara-perla;Wkład akrylowy okrągły 200cm z wytłoczeniemi na dysze szara perła;Wkład akrylowy okrągły z wytłoczeniami pod dysze szara perła;3899,00;wklad-akrylowy-okragly-z-wytloczeniami-pod-dysze-szara-perla
0.74;;zawor-zwrotny-32-mm;Zawór zwrotny 32 mm;Zawór zwrotny 32 mm do aeromasażu;39,99;zawor-zwrotny-32-mm-do-aeromasazu
0.72;podobny wariant obok;pompa-obiegowa-do-grzalki-0-25kw;Pompa obiegowa do grzałki 0.25kW;Pompa obiegowa JA35 0,25kW;549,99;pompa-obiegowa-ja35-0-25kw
0.72;;piec-zewnetrzny-bez-szybki-26kw-aisi-304;Piec zewnętrzny bez szybki 26kW AISI 304;Piec do balii 26kW bez szybki AISI 304;2099,00;piec-do-balii-26kw-bez-szybki-aisi-304
0.72;;termometr-na-baterie-dotykowy;Termometr na baterię dotykowy;Termometr dotykowy na baterie z sondą;138,00;termometr-dotykowy-na-baterie-z-sonda
0.71;;zestaw-startowy-do-wanny-spa;Zestaw startowy do wanny spa;Zestaw startowy do balii ogrodowej / wanny spa;163,99;zestaw-startowy-do-balii-ogrodowej-wanny-spa
0.70;;porecz-do-balii;Poręcz do balii;Poręcz do balii ogrodowej;348,99;porecz-do-balii-ogrodowej
0.70;podobny wariant obok;pokrywa-termiczna-160-cm-x-200-cm;Pokrywa termiczna 160 cm x 200 cm;Pokrywa termiczna 200 cm;1090,00;pokrywa-termiczna-200-cm
0.70;;wklad-do-beczki-schladzajacej-pokrywa-z-laminatu-do-beczki-do-schladzania;Wkład do beczki schładzającej — Pokrywa z laminatu do beczki do schładzania;Pokrywa z laminatu do beczki do schładzania;349,99;pokrywa-z-laminatu-do-beczki-do-schladzania
0.69;;stolik-obrotowy-360-stopni;Stolik obrotowy 360 stopni;Stolik obrotowy do balii ogrodowej 360 stopni;200,00;stolik-obrotowy-do-balii-ogrodowej-360-stopni
0.69;;obejmy-do-balii;Obejmy do balii;Obejmy nierdzewne do balii;300,00;obejmy-nierdzewne-do-balii
0.69;;pokrywa-termiczna-196-cm-x-203-cm;Pokrywa termiczna 196 cm x 203 cm;Pokrywa termiczna kwadratowa 196×203;1090,00;pokrywa-termiczna-kwadratowa-196-203
0.69;podobny wariant obok;piec-zewnetrzny-z-szybka-26kw-aisi-304;Piec zewnętrzny z szybką 26kW AISI 304;Piec do balii 26kW z szybką AISI 304;2399,00;piec-do-balii-26kw-z-szybka-aisi-304
0.69;;zestaw-przylaczeniowy-do-pieca-zewnetrznego-cena-za-1-kpl;Zestaw przyłączeniowy do pieca zewnętrznego — cena za 1 kpl.;Zestaw przyłączeniowy do pieca zewnętrznego;348,99;zestaw-przylaczeniowy-do-pieca-zewnetrznego
0.69;;pokrywa-termiczna-172-cm-x-202-cm;Pokrywa termiczna 172 cm x 202 cm;Pokrywa termiczna prostokątna 172×202;1040,00;pokrywa-termiczna-prostokatna-172-202
0.68;podobny wariant obok;wklad-akrylowy-okragly-200cm-biala-perla;Wkład akrylowy okrągły 200cm biała perła;Wkład akrylowy okrągły szara perła;4660,00;wklad-akrylowy-okragly-szara-perla
0.67;;waz-cisnieniowy-do-pieca-48-mm-cena-za-1-mb;Wąż ciśnieniowy do pieca 48 mm — cena za 1 mb;Wąż ciśnieniowy do pieca 48 mm;99,00;waz-cisnieniowy-do-pieca-48-mm
0.67;podobny wariant obok;pokrywa-termiczna-220x220-kwadratowa;Pokrywa termiczna 220x220 kwadratowa;Pokrywa termiczna kwadratowa 202×202;1090,00;pokrywa-termiczna-kwadratowa-202-202
0.65;;wklad-z-wlokna-szklanego-ofuro-dwuosobowe;Wkład z włókna szklanego — Ofuro dwuosobowe;Wkład z włókna szklanego dwuosobowy Ofuro grafit;2099,00;wklad-z-wlokna-szklanego-dwuosobowy-ofuro-grafit
0.64;;aeromasaz-na-12-dysz-z-oswietleniem-led;Aeromasaż na 12 dysz z oświetleniem LED;Zestaw aeromasażu na 12 dysz z oświetleniem led 750W;1290,00;zestaw-aeromasazu-na-12-dysz-z-oswietleniem-led-750w
0.64;;wklad-z-wlokna-szklanego-kwadrat-z-miejscem-lezacym-196-cm-x-203-cm-granicoat;Wkład z włókna szklanego — Kwadrat z miejscem leżącym 196 cm x 203 cm granicoat;Wkład z włókna szklanego kwadrat z miejscem leżącym grafit granitcoat;4599,00;wklad-z-wlokna-szklanego-kwadrat-z-miejscem-lezacym-grafit-granitcoat
0.64;;wklad-akrylowy-okragly-200cm-z-wytloczeniemi-na-dysze-biala-perla;Wkład akrylowy okrągły 200cm z wytłoczeniemi na dysze biała perła;Wkład akrylowy okrągły z wytłoczeniami pod dysze szara perła;3899,00;wklad-akrylowy-okragly-z-wytloczeniami-pod-dysze-szara-perla
